,precision,recall,f1-score,support
Molluscum Contagiosum,0.0,0.0,0.0,2.0
Lichen sclerosus,0.0,0.0,0.0,1.0
Milia,0.0,0.0,0.0,1.0
Keratoderma,0.0,0.0,0.0,1.0
Kumkum Dermatitis,0.0,0.0,0.0,1.0
Keratosis pilaris,0.0,0.0,0.0,1.0
Hemangioma,0.0,0.0,0.0,1.0
Phimosis,0.0,0.0,0.0,1.0
Phytophotodermatitis,0.0,0.0,0.0,2.0
Paederus dermatitis,0.0,0.0,0.0,1.0
Pruritic dermatitis,0.0,0.0,0.0,1.0
Prurigo Simplex,0.0,0.0,0.0,2.0
Prurigo,0.0,0.0,0.0,1.0
Pityriasis rosea,0.0,0.0,0.0,1.0
Port wine stain,0.0,0.0,0.0,1.0
Scar Condition,0.0,0.0,0.0,2.0
Pustular Scabies,0.0,0.0,0.0,1.0
Post-Inflammatory hypopigmentation,0.0,0.0,0.0,1.0
Steroid Induced Facies,0.0,0.0,0.0,1.0
Striae,0.0,0.0,0.0,1.0
Sun damaged skin,0.0,0.0,0.0,1.0
Sunburn,0.0,0.0,0.0,1.0
Sweat Dermatitis,0.0,0.0,0.0,2.0
Tinea,0.0,0.0,0.0,3.0
Textile Dermatitis,0.0,0.0,0.0,2.0
Seborrheic Keratosis,0.0,0.0,0.0,1.0
Trichoepithelioma,0.0,0.0,0.0,1.0
Urticarial vasculitis,0.0,0.0,0.0,1.0
Ulcer,0.0,0.0,0.0,1.0
Tinea pedis,0.0,0.0,0.0,1.0
Viral exanthem,0.0,0.0,0.0,1.0
